관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자
3760000-101-2019-00178,메가엠지씨커피 세류역점,201284.203526617,415828.884883389,영업/정상,2019-06-25,
3770000-101-2010-00106,빽다방 수원인계중앙점,202894.138462443,418072.851197811,영업/정상,2010-05-20,
3760000-101-2021-00346,감성커피 수원곡반정점,202993.950911843,415878.044366532,영업/정상,2021-12-13,
5610000-101-2024-00251,매머드익스프레스 광교SK뷰레이크점,205273.931816708,420610.782510294,영업/정상,2024-07-16,
3760000-101-2010-00201,메가엠지씨커피 수원권선SK뷰점,202237.242172359,417212.329378498,영업/정상,2010-09-09,
3760000-101-1997-00019,메가엠지씨커피 수원권선자이점,202476.110044799,416761.444126285,영업/정상,1997-11-27,
3750000-101-2015-00138,수원천천롯데점 빽다방,198447.038313243,421591.709384754,영업/정상,2015-09-17,
3750000-101-2004-00261,빽다방 수원파장점,199399.093176438,422653.629705323,영업/정상,2004-10-21,
3750000-101-2003-00462,빽다방 수원성균관대역점,197383.339084481,421862.079377619,영업/정상,2003-12-22,
3750000-101-2004-00010,빽다방 수원정자백설점,199405.120114957,421584.384889024,영업/정상,2004-01-15,
3760000-101-2007-00299,메가엠지씨커피 수원곡반정점,202541.889098063,415254.259509978,영업/정상,2007-12-14,
3900000-101-2021-00048,컴포즈커피광명소하2동점,189289.017955665,436797.556273212,폐업,2021-04-12,2023-06-12
3900000-101-2021-00133,컴포즈커피광명도덕점,188023.926551325,440988.965045396,영업/정상,2021-08-20,
3900000-101-2021-00140,컴포즈광명아크포레자이점,187147.929934277,441194.090012413,영업/정상,2021-08-31,
3900000-101-2002-00432,메가엠지씨커피광명금당사거리점,189580.638650097,439679.602165328,영업/정상,2002-11-18,
3900000-101-2010-00098,메가엠지씨커피광명해모로점,186568.489283325,441275.956646855,영업/정상,2010-05-17,
3900000-101-2008-00082,컴포즈커피광명하안점,189268.292173019,439959.529285219,영업/정상,2008-06-20,
3900000-101-2013-00186,더벤티광명사거리역점,186998.853161213,441721.416678095,영업/정상,2013-12-02,
