관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,is_alive,population
3210000-101-2002-00132,이디야,200932.645358262,443317.099301192,영업/정상,2002-04-11,,1,77.125
3210000-101-2013-00072,빽다방 서울교대점,201295.700037578,443474.524864903,영업/정상,2013-03-05,,1,329.875
3210000-101-2018-00091,메가엠지씨커피 논현중앙점,201879.940418039,445174.16727188,영업/정상,2018-03-05,,1,100.625
3210000-101-2016-00094,매머드커피 익스프레스 삼성타운점,202165.507055894,443757.10494218,영업/정상,2016-03-14,,1,247.375
3020000-101-2014-00133,빽다방남영역지점,197482.715568473,448876.940549786,폐업,2014-05-07,2021-06-15,0,18.625
3020000-101-1981-04525,이디야용산중앙점,196803.242305775,447023.962648698,폐업,1981-11-03,2024-03-07,0,28.5
3020000-101-1986-06308,빽다방서울역지점,197484.066786213,450200.423526439,폐업,1986-09-13,2019-03-29,0,6.125
3020000-101-2020-00149,빽다방 한남순천향점,200299.87733922,447889.831561119,영업/정상,2020-04-20,,1,86.0
3020000-101-2011-00272,메가엠지씨커피한남오거리점,200514.811794271,447903.472221826,영업/정상,2011-11-07,,1,10.5
3020000-101-2002-00154,이디야,197453.405738575,449089.544468323,영업/정상,2002-05-07,,1,23.5
3020000-101-2002-00403,메가엠지씨커피 용문시장점,196395.588819886,448384.491673959,영업/정상,2002-12-06,,1,244.75
3020000-101-1993-05084,매머드익스프레스서울역점,197663.205610751,450126.78977162,영업/정상,1993-08-06,,1,183.625
3020000-101-2014-00016,빽다방 용산문배점,197248.654674623,448360.57465451,영업/정상,2014-01-20,,1,578.875
3020000-101-1999-01993,이디야커피동자동점,197731.992485033,450119.606517113,영업/정상,1999-05-19,,1,259.75
3020000-101-2023-00233,컴포즈커피(COMPOSE COFFEE) 남영동점,197521.687731773,449024.318475909,영업/정상,2023-06-19,,1,113.5
3020000-101-2010-00284,이디야커피,197740.866771972,446505.474827549,영업/정상,2010-12-09,,1,15.5
3020000-101-1988-00925,메가엠지씨커피 신용산역점,197277.862973435,447641.450492702,영업/정상,1988-07-04,,1,49.875
3180000-101-2022-00530,더벤티 영등포구청점,190641.013239169,447188.60496999,폐업,2022-10-18,2025-04-15,0,262.125
3180000-101-2015-00513,매머드익스프레스남여의도점,193209.283508484,446474.956573488,폐업,2015-11-23,2020-09-02,0,188.25
3180000-101-2014-00356,매머드익스프레스선유도점,190558.055923606,448366.233223909,폐업,2014-09-02,2025-02-06,0,431.375
3180000-101-2017-00316,감성커피당산역점,190970.006584385,448119.321732582,폐업,2017-07-21,2025-02-10,0,6.125
3180000-101-2018-00156,감성커피,192558.271784626,444233.81892942,폐업,2018-04-24,2019-10-21,0,367.625
3180000-101-2019-00305,감성커피영등포문래점,190107.271463999,446454.594611755,폐업,2019-07-03,2021-02-17,0,397.125
3180000-101-2019-00266,매머드익스프레스여의도KBS본관점,192747.419300064,447054.988337321,폐업,2019-06-12,2023-03-13,0,545.625
3180000-101-2019-00279,만랩커피 문래GS점,190169.524017679,446574.378587989,폐업,2019-06-19,2024-05-09,0,34.25
3180000-101-2023-00901,매머드 익스프레스 영등포이앤씨점,190364.652010662,447158.946262059,영업/정상,2023-11-27,,1,0.625
3180000-101-2023-00707,매머드익스프레스 영등포반도아이비밸리점,191287.220816533,446748.752488751,영업/정상,2023-09-20,,1,12.375
3180000-101-2023-00831,빽다방 한강성심병원점,191903.534604311,446732.91171244,영업/정상,2023-10-31,,1,606.5
3180000-101-2022-00506,매머드 익스프레스 샛강역점,193616.796239252,446333.482649997,영업/정상,2022-10-06,,1,19.875
3180000-101-2024-00136,매머드 익스프레스 영등포역남부점,191658.723438907,445785.573039511,영업/정상,2024-02-29,,1,352.0
3180000-101-2023-00158,매머드 익스프레스 서여의도점,193057.414953819,447529.082521039,영업/정상,2023-03-20,,1,1.875
3180000-101-2023-00168,컴포즈커피 당산중앙점,191477.428913335,447859.066836843,영업/정상,2023-03-22,,1,298.5
3180000-101-2024-00178,매머드익스프레스 KBS별관점,193806.710797598,446301.910645928,영업/정상,2024-03-25,,1,0.0
3180000-101-2022-00027,매머드 익스프레스 영등포리드원점,190483.297508855,446975.595771463,영업/정상,2022-01-12,,1,6.75
3180000-101-2024-00469,매머드익스프레스 당산양화대교남단점,191092.2107263,448179.732935001,영업/정상,2024-07-05,,1,50.5
3180000-101-2010-00147,컴포즈커피 양평역 이노플렉스점,190146.79444215,447018.198264889,영업/정상,2010-04-16,,1,2.5
3180000-101-2016-00086,매머드 익스프레스 영등포구청역점,190656.176620123,447185.325713752,영업/정상,2016-03-10,,1,262.125
3180000-101-2014-00097,컴포즈,193678.695372375,446510.536954452,영업/정상,2014-03-24,,1,18.625
3180000-101-2005-00499,메가엠지씨커피 선유도비즈타워점(MEGA MGC COFFEE),190633.845919775,448306.736102179,영업/정상,2005-10-14,,1,86.625
3180000-101-2015-00260,빽다방여의도시범상가점,194370.32715363,446497.523930335,영업/정상,2015-06-08,,1,359.25
3180000-101-2007-00466,메가엠지씨커피 양평역점,190107.95828772,447051.469526227,영업/정상,2007-08-24,,1,2.5
3180000-101-2018-00022,메가엠지씨커피영등포구청역점,190822.050449239,447104.736295755,영업/정상,2018-01-16,,1,212.375
3180000-101-2017-00220,메가엠지씨커피 문래근린공원점,190587.490693926,445842.199775811,영업/정상,2017-05-23,,1,15.5
3180000-101-2012-00272,만랩커피 영등포구청점,190654.294640048,447163.440427243,영업/정상,2012-07-11,,1,262.125
3180000-101-2003-00454,메가엠지씨커피 신길삼거리점,192764.2266935,445803.552670293,영업/정상,2003-08-28,,1,84.875
3180000-101-1998-13649,이디야,190553.79919447,448449.328276831,영업/정상,1998-11-16,,1,83.5
3180000-101-2001-10999,메가엠지씨커피 대림사거리점,191585.173191958,442950.2893204,영업/정상,2001-04-11,,1,132.25
3190000-101-2018-00286,메가엠지씨커피 숭실대입구역점,195796.825480428,443786.293148272,영업/정상,2018-12-03,,1,226.5
3190000-101-2022-00156,매머드 익스프레스 휴포레점,191548.535775618,442684.531353122,영업/정상,2022-08-18,,1,269.625
3190000-101-2022-00165,메가엠지씨커피 남성역점,197351.780948148,442479.099435308,영업/정상,2022-08-26,,1,364.375
