관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,proximity_metro_dist
3140000-104-2012-00147,이디야 CBS점,188871.512837973,447348.13213342,폐업,2012-12-13,2023-03-23,416.28870206784194
3020000-104-2015-00081,빽다방 신용산역점,197043.070567006,447583.735611074,폐업,2015-09-10,2022-03-28,181.62597075474216
3020000-104-2016-00086,빽다방,196506.975091736,448157.36945739,폐업,2016-07-12,2018-03-05,401.6679086201233
3010000-104-2018-00147,이디야커피 약수역점,200958.815664612,450254.293571435,폐업,2018-05-23,2024-09-23,90.21267250719399
3110000-104-2014-00097,이디야 응암중앙점,192568.183164958,454016.689865438,폐업,2014-10-10,2024-10-23,403.3219008791834
3110000-104-2017-00127,이디야,192144.782048469,456791.43331642,폐업,2017-07-05,2022-08-25,537.6302802655077
3070000-104-2009-00013,이디야성신여대역점,201342.102885448,454603.051999187,폐업,2009-03-27,2017-10-23,109.09098362013371
3110000-104-2018-00034,커피에반하다(응암서부병원점),193223.487527244,455229.001358152,폐업,2018-03-05,2022-03-16,751.4128747466021
3140000-104-2017-00150,더벤티킴스클럽목동점,188977.171050288,447466.355031447,폐업,2017-09-18,2019-12-04,542.1367447253009
3020000-104-2014-00072,이디야 용산아스테리움점,197177.441827434,447264.444809335,폐업,2014-06-23,2017-05-11,176.29326803894344
3210000-104-2011-00216,이디야커피 양재우면점,203268.908269935,441690.283159014,폐업,2011-11-02,2016-10-06,715.6793814687697
3140000-104-2014-00030,이디야커피,186022.845067592,446241.819507065,폐업,2014-03-04,2023-01-13,923.1460470922123
3110000-104-2013-00016,이디야 에스프레소,193671.151835754,456443.282712175,폐업,2013-02-25,2023-10-19,70.63453867097115
3140000-104-2018-00030,커피에반하다,185272.980783767,446741.823422554,폐업,2018-02-28,2024-10-10,1491.124673587443
3210000-104-2014-00020,이디야커피(EDIYA COFFEE),203494.359793635,440771.039835881,폐업,2014-02-07,2021-12-10,263.97065574036424
3110000-104-2015-00113,이디야,193296.847623863,457624.618620068,폐업,2015-08-10,2023-10-25,422.0862381814906
3110000-104-2013-00103,이디야,190774.119177382,453295.781525013,폐업,2013-11-01,2024-11-27,131.25962550774
3110000-104-2013-00114,이디야 커피(연신내 중앙점),193105.199725994,457192.152290266,폐업,2013-11-29,2023-07-19,257.9506907543305
3210000-104-2015-00315,빽다방,203837.230301069,441539.1933305,폐업,2015-11-24,2016-04-26,757.7592629721627
